,#,Country,ISO,Name,SEZ Present,SEZ Name,SEZ VAT Treatment,SEZ CIT Rate,Local Licensing Fee,Land Ownership Rules,Statutory CIT (National),Subnational CIT Adjustment,Effective CIT in SEZ,Other Local Taxes,Tax Administration Complexity,Political Stability,Security Risk,Governance Quality,Next Subnational Election,Ruling Party Alignment,US Economic Influence,Chinese Economic Influence,Key Foreign Investors,Strategic Importance,Major Industries,Export Orientation,Infrastructure Quality,Labor Cost Level,Time to Start Business,Permitting Speed,Inspection Intensity,Judicial Efficiency,Regulatory Predictability,Incentive Reliability,Incentive Negotiability,Incentive Transparency,Electricity Cost,Power Reliability,Water Availability,Distance to Port (Time),Port Efficiency,Customs Clearance Time,Rail Connectivity,Labor Availability,Skill Level,Unionization Level,Turnover Rate,Language Capability,Industry Clusters,Supplier Ecosystem Depth,Multinational Presence,University / R&D Access,Industrial Land Cost,Land Availability,Zoning Flexibility,Land Acquisition Risk,Crime Impact on Business,Corruption Level,Cargo Theft Risk,Political Violence Risk,Market Access Proximity,Trade Corridor Access,Border Friction,FTA Utilization,Reform Momentum,Government Priority Status,Industrial Policy Focus,Single Window Effectiveness,Bureaucratic Discretion,Relationship vs Rules Based,Environmental Enforcement,Carbon Policy Exposure,Sustainability Constraints,Community Opposition Risk
294,294,Tanzania,TZ,Kigoma,Yes,Kigoma SEZ — declared under Local Government Authority; part of EPZA mega-zone development plan. Source: EPZA survey 2024; EPZA Tanzania,Customs duty and VAT exempt on qualifying inputs. Source: SEZ Act 2006,10-yr CIT holiday; 25% thereafter. Source: EPZA Tanzania; Tanzania Revenue Authority,"Business licence via BRELA + local council. Border/lake region. Estimated TZS 40,000–150,000/yr. Source: Business Licensing Act 2012; World Bank Tanzania Subnational 2007",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
295,295,Tanzania,TZ,Kilimanjaro,No,No EPZA-designated EPZ or SEZ in Kilimanjaro as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Tourism/coffee hub. Estimated TZS 60,000–300,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
296,296,Tanzania,TZ,Lindi,No,No EPZA-designated EPZ or SEZ in Lindi as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Coastal; lower activity. Estimated TZS 30,000–120,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
297,297,Tanzania,TZ,Manyara,Yes,"Manyara SEZ (Mererani area, 500 ha) — EPZA; gemstone sector. Source: EPZA Tanzania epza.go.tz",Customs duty and VAT exempt on qualifying inputs. Source: SEZ Act 2006,10-yr CIT holiday; 25% thereafter. Source: EPZA Tanzania,"Business licence via BRELA + local council. Tourism; estimated TZS 50,000–200,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
298,298,Tanzania,TZ,Mara,Yes,"Mara SEZ / Bunda Investment Area (1,284 ha, 5km west of Bunda Town) — EPZA; agricultural/cotton. Source: EPZA Tanzania epza.go.tz",Customs duty and VAT exempt on qualifying inputs. Source: SEZ Act 2006,10-yr CIT holiday; 25% thereafter. Source: EPZA Tanzania,"Business licence via BRELA + local council. Musoma; lower activity. Estimated TZS 40,000–150,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
299,299,Tanzania,TZ,Mbeya,Yes,Mbeya SEZ — EPZA-listed. Source: EPZA survey 2024 (TrademarkAfrica/EPZA 2024),Customs duty and VAT exempt on qualifying inputs. Source: SEZ Act 2006,10-yr CIT holiday; 25% thereafter. Source: EPZA Tanzania,"Business licence via BRELA + local council. Regional hub. Estimated TZS 60,000–300,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
300,300,Tanzania,TZ,Morogoro,No,No EPZA-designated EPZ or SEZ in Morogoro as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Agricultural corridor. Estimated TZS 50,000–200,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
301,301,Tanzania,TZ,Mtwara,Yes,"Mtwara SEZ (2,600 ha); Mtwara Freeport Zone (110 acres, gazetted alongside Mtwara Port) — EPZA. Source: EPZA Tanzania epza.go.tz; REAB",Customs duty and VAT exempt on qualifying inputs; Freeport Zone additional benefits. Source: SEZ Act 2006,10-yr CIT holiday; 25% thereafter. Source: EPZA Tanzania,"Business licence via BRELA + local council. LNG investment zone. Estimated TZS 40,000–200,000/yr. Source: Business Licensing Act 2012; World Bank Tanzania Subnational 2007",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
302,302,Tanzania,TZ,Mwanza,No,No EPZA-designated EPZ or SEZ in Mwanza as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Second largest city; lake port. Estimated TZS 80,000–400,000/yr. Source: Business Licensing Act 2012; World Bank Tanzania Subnational 2007",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,Medium–High,Information unavailable,Low–Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Medium–High,Medium,Medium,Medium,Information unavailable,Medium,Low–Medium,High,Medium,Information unavailable,Medium,High (English),Medium,Low–Medium,Medium,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Medium,Medium,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
303,303,Tanzania,TZ,Njombe,No,No EPZA-designated EPZ or SEZ in Njombe as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Smaller economy. Estimated TZS 30,000–120,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
304,304,Tanzania,TZ,Pemba North,Yes (Zanzibar),Zanzibar SEZ / ZFEZ — Zanzibar Free Economic Zones Authority; Zanzibar has its own SEZ framework under ZIPA. Source: Zanzibar Investment Act; ZIPA,Customs duty and VAT relief on qualifying inputs within Zanzibar SEZ. Source: Zanzibar Investment Act,10% CIT for qualifying ZIPA investors; standard 30% otherwise. Source: ZIPA; Zanzibar Revenue Board,"Business licence via ZIPA (Zanzibar Investment Promotion Authority) + Zanzibar Revenue Board (ZRB). Estimated TZS 50,000–200,000/yr. Source: Zanzibar Investment Act; ZRB",State ownership — leasehold only; ZIPA governs,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
305,305,Tanzania,TZ,Pemba South,Yes (Zanzibar),Zanzibar SEZ / ZFEZ — ZIPA-governed Zanzibar free economic zone framework. Source: Zanzibar Investment Act; ZIPA,Customs duty and VAT relief on qualifying inputs. Source: Zanzibar Investment Act,10% CIT for qualifying ZIPA investors; standard 30% otherwise. Source: ZIPA; Zanzibar Revenue Board,"Business licence via ZIPA + ZRB. Estimated TZS 40,000–150,000/yr. Source: Zanzibar Investment Act; ZRB",State ownership — leasehold only; ZIPA governs,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
306,306,Tanzania,TZ,Pwani,Yes,"Bagamoyo SEZ (9,800 ha, 50 km north of Dar es Salaam) — EPZA mega-project; partially operational. Source: EPZA Tanzania; TanzaniaInvest",Customs duty and VAT exempt on qualifying inputs. Source: SEZ Act 2006,10-yr CIT holiday; 25% thereafter. Source: EPZA Tanzania,"Business licence via BRELA + local council. Coastal; estimated TZS 40,000–200,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
307,307,Tanzania,TZ,Rukwa,No,No EPZA-designated EPZ or SEZ in Rukwa as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Remote; lower commercial. Estimated TZS 30,000–100,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
308,308,Tanzania,TZ,Ruvuma,No,No EPZA-designated EPZ or SEZ in Ruvuma as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Border region. Estimated TZS 30,000–120,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
309,309,Tanzania,TZ,Shinyanga,Yes,Shinyanga SEZ — EPZA-listed. Source: EPZA survey 2024 (TrademarkAfrica/EPZA 2024),Customs duty and VAT exempt on qualifying inputs. Source: SEZ Act 2006,10-yr CIT holiday; 25% thereafter. Source: EPZA Tanzania,"Business licence via BRELA + local council. Diamond mining. Estimated TZS 50,000–200,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
310,310,Tanzania,TZ,Simiyu,No,No EPZA-designated EPZ or SEZ in Simiyu as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Smaller economy. Estimated TZS 30,000–120,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
311,311,Tanzania,TZ,Singida,No,No EPZA-designated EPZ or SEZ in Singida as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Estimated TZS 30,000–100,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
312,312,Tanzania,TZ,Songwe,No,No EPZA-designated EPZ or SEZ in Songwe as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. New region. Estimated TZS 30,000–100,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
313,313,Tanzania,TZ,Tabora,No,No EPZA-designated EPZ or SEZ in Tabora as of 2024. Source: EPZA Tanzania; TIC 2024,Information unavailable,N/A. Standard 30% CIT applies. Source: Tanzania Revenue Authority; TIC 2024,"Business licence via BRELA + local council. Interior; lower activity. Estimated TZS 30,000–120,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
314,314,Tanzania,TZ,Tanga,Yes,"Tanga SEZ (1,363 ha at Neema area) — EPZA; under construction. Source: EPZA Tanzania epza.go.tz",Customs duty and VAT exempt on qualifying inputs. Source: SEZ Act 2006,10-yr CIT holiday; 25% thereafter. Source: EPZA Tanzania,"Business licence via BRELA + local council. Port city; mid-range. Estimated TZS 60,000–300,000/yr. Source: Business Licensing Act 2012",State ownership — leasehold only,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
315,315,Tanzania,TZ,Unguja North,Yes (Zanzibar),Zanzibar SEZ / ZFEZ — ZIPA-governed; tourism north. Source: Zanzibar Investment Act; ZIPA,Customs duty and VAT relief on qualifying inputs. Source: Zanzibar Investment Act,10% CIT for qualifying ZIPA investors; standard 30% otherwise. Source: ZIPA; Zanzibar Revenue Board,"Business licence via ZIPA + ZRB. Tourism north. Estimated TZS 50,000–250,000/yr. Source: Zanzibar Investment Act; ZRB",Zanzibar leasehold only (max 99 yrs); ZIPA governs,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
316,316,Tanzania,TZ,Unguja South,Yes (Zanzibar),Zanzibar SEZ / ZFEZ — ZIPA-governed. Source: Zanzibar Investment Act; ZIPA,Customs duty and VAT relief on qualifying inputs. Source: Zanzibar Investment Act,10% CIT for qualifying ZIPA investors; standard 30% otherwise. Source: ZIPA; Zanzibar Revenue Board,"Business licence via ZIPA + ZRB. Estimated TZS 40,000–200,000/yr. Source: Zanzibar Investment Act; ZRB",Zanzibar leasehold only (max 99 yrs); ZIPA governs,0.3,Information unavailable,10–15%,Information unavailable,High,Information unavailable,Low–Medium,Medium–Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Medium–High,Low,Medium,High,Information unavailable,Medium–Slow,Low,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–High,Information unavailable,Information unavailable,Low,Low,Medium,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,High,Information unavailable,Information unavailable,Low–Medium,Information unavailable,Information unavailable
